timestamp,window_end,dataset_source,packet_count,byte_count,unique_src_ips,unique_dst_ips,unique_src_ports,unique_dst_ports,tcp_packet_count,udp_packet_count,icmp_packet_count,mean_packet_size,std_packet_size,min_packet_size,max_packet_size,mean_inter_arrival_time,std_inter_arrival_time,syn_count,ack_count,rst_count,fin_count,psh_count,forward_packets,backward_packets,forward_bytes,backward_bytes,flow_duration_mean,binary_label,attack_type
2011-08-10T09:15:00+00:00,2011-08-10T09:16:00+00:00,CTU13_PCAP,502,43445,13,41,65,24,492,10,0,86.54382470119522,156.80146134076287,60,2950,0.1161353155048545,0.2749071454436904,195,299,13,21,136,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T09:16:00+00:00,2011-08-10T09:17:00+00:00,CTU13_PCAP,454,31342,12,40,64,22,451,2,1,69.0352422907489,35.237627444776834,60,359,0.1319784944420618,0.2839361733223178,200,255,17,29,83,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T09:17:00+00:00,2011-08-10T09:18:00+00:00,CTU13_PCAP,585,43117,12,44,74,22,574,11,0,73.7042735042735,76.0149764744016,60,961,0.1016475615436083,0.2312682109020123,265,312,9,13,133,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T09:18:00+00:00,2011-08-10T09:19:00+00:00,CTU13_PCAP,814,159364,14,44,69,29,804,10,0,195.7788697788698,511.1084598549822,60,4434,0.0724282865887931,0.1695580049824606,253,506,68,23,178,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T09:19:00+00:00,2011-08-10T09:20:00+00:00,CTU13_PCAP,547,36069,10,40,73,25,536,11,0,65.93967093235831,30.27023351116434,60,412,0.1060127456546266,0.2339079218284064,276,265,11,18,86,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T09:20:00+00:00,2011-08-10T09:21:00+00:00,CTU13_PCAP,651,53425,10,40,66,23,641,10,0,82.06605222734255,155.10148384680642,60,2974,0.0914371384107149,0.2134886281449125,248,397,7,19,157,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T09:21:00+00:00,2011-08-10T09:22:00+00:00,CTU13_PCAP,680,59307,12,40,70,27,672,8,0,87.21617647058824,160.22588476924227,60,1819,0.0879659456076081,0.1978689291642343,268,406,16,16,151,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T09:22:00+00:00,2011-08-10T09:23:00+00:00,CTU13_PCAP,670,114337,13,41,72,30,663,7,0,170.65223880597014,439.3469848445562,60,2974,0.0895536159720656,0.1925056283456689,246,386,51,30,122,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T09:23:00+00:00,2011-08-10T09:24:00+00:00,CTU13_PCAP,635,49642,11,44,78,26,615,20,0,78.1763779527559,86.85147286970256,60,1065,0.0944573721299036,0.2181477023881463,279,341,7,17,137,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T09:24:00+00:00,2011-08-10T09:25:00+00:00,CTU13_PCAP,565,36286,9,39,72,19,563,2,0,64.22300884955752,31.912876444818043,60,613,0.1038836701541927,0.2265810876717383,304,259,23,16,77,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T09:25:00+00:00,2011-08-10T09:26:00+00:00,CTU13_PCAP,1669,749589,25,52,94,44,1634,35,0,449.1246255242661,803.3141948657403,60,5894,0.0358548015713405,0.1090537047934226,355,1304,23,45,313,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T09:26:00+00:00,2011-08-10T09:27:00+00:00,CTU13_PCAP,1919,980276,40,67,91,34,1728,187,4,510.8264721208963,942.82536019708,60,5894,0.031211781054269,0.098587795190847,304,1434,9,16,161,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T09:27:00+00:00,2011-08-10T09:28:00+00:00,CTU13_PCAP,1786,918855,15,40,77,35,1763,23,0,514.476483762598,835.344431283215,60,7354,0.0335248263276257,0.0952784541506488,278,1490,25,32,249,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T09:28:00+00:00,2011-08-10T09:29:00+00:00,CTU13_PCAP,772,73555,16,42,74,34,752,20,0,95.27849740932642,174.28288720008973,60,1819,0.0767639326523559,0.2125749053941967,284,480,16,25,175,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T09:29:00+00:00,2011-08-10T09:30:00+00:00,CTU13_PCAP,717,62617,15,40,75,32,703,14,0,87.33193863319386,156.49446454046404,60,1819,0.0821230504765856,0.2012464555097455,279,431,6,33,154,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T09:30:00+00:00,2011-08-10T09:31:00+00:00,CTU13_PCAP,1941,1150812,16,41,81,37,1916,25,0,592.8964451313756,855.2780098178824,60,8814,0.0303532613921411,0.0943497865583943,306,1628,10,35,345,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T09:31:00+00:00,2011-08-10T09:32:00+00:00,CTU13_PCAP,1475,655534,25,51,96,47,1424,51,0,444.4298305084746,751.5002727820507,60,8814,0.0399761647996941,0.1447800476784086,356,1086,13,45,290,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T09:32:00+00:00,2011-08-10T09:33:00+00:00,CTU13_PCAP,1600,831371,16,51,93,38,1598,2,0,519.606875,930.3709884114692,60,8814,0.0373536821750643,0.1211592972937024,298,1314,14,34,314,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T09:33:00+00:00,2011-08-10T09:34:00+00:00,CTU13_PCAP,2409,1342728,19,47,94,46,2395,14,0,557.3798256537982,804.7489447241746,60,7354,0.0248930727524614,0.0608543108106126,300,2109,18,48,506,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T09:34:00+00:00,2011-08-10T09:35:00+00:00,CTU13_PCAP,1553,597837,19,45,77,38,1531,20,2,384.9562137797811,693.0570459301437,60,7354,0.0385240849453149,0.0884014998858988,247,1299,10,38,331,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T09:35:00+00:00,2011-08-10T09:36:00+00:00,CTU13_PCAP,1553,628860,20,45,79,40,1535,17,1,404.932388924662,713.0000184689077,60,5894,0.0385541178516505,0.0896402310721795,273,1275,21,30,319,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T09:36:00+00:00,2011-08-10T09:37:00+00:00,CTU13_PCAP,838,91557,13,41,67,31,833,5,0,109.2565632458234,254.24380327211492,60,2974,0.071255963050906,0.1465361631792146,222,619,4,24,212,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T09:37:00+00:00,2011-08-10T09:38:00+00:00,CTU13_PCAP,1079,99087,17,45,79,35,1060,19,0,91.83225208526412,270.10744204488856,60,7354,0.0556228636368307,0.1071778608831344,283,792,8,28,272,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T09:38:00+00:00,2011-08-10T09:39:00+00:00,CTU13_PCAP,931,86525,19,47,85,39,907,22,2,92.93770139634802,169.78387850213488,60,1819,0.064105531220795,0.1287815183632355,298,621,12,36,204,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T09:39:00+00:00,2011-08-10T09:40:00+00:00,CTU13_PCAP,730,59155,12,39,67,27,718,12,0,81.03424657534246,149.04939947784536,60,1819,0.0821486598670237,0.1661624809546131,225,494,12,12,160,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T09:40:00+00:00,2011-08-10T09:41:00+00:00,CTU13_PCAP,1756,714163,23,50,83,44,1733,21,2,406.6987471526196,737.7146811731999,60,8814,0.0341555190561843,0.0842593140238828,283,1471,19,46,392,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T09:41:00+00:00,2011-08-10T09:42:00+00:00,CTU13_PCAP,1567,364405,29,57,106,54,1516,50,1,232.5494575622208,568.0944794088434,60,5894,0.037892440574227,0.1079326946310336,367,1114,82,57,337,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T09:42:00+00:00,2011-08-10T09:43:00+00:00,CTU13_PCAP,713,54926,12,38,66,24,705,5,3,77.0350631136045,137.77630976895634,60,1819,0.0835862122894672,0.1511156968011195,234,475,8,12,158,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T09:43:00+00:00,2011-08-10T09:44:00+00:00,CTU13_PCAP,748,92100,13,37,64,27,743,2,3,123.1283422459893,263.43497528244933,60,1819,0.0801909439056274,0.1858157495182819,240,507,10,21,169,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T09:44:00+00:00,2011-08-10T09:45:00+00:00,CTU13_PCAP,459,30684,12,40,58,23,452,5,2,66.84967320261438,36.47252905558096,60,412,0.1307748884092772,0.2709076894937329,210,246,3,11,83,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T09:45:00+00:00,2011-08-10T09:46:00+00:00,CTU13_PCAP,881,130569,19,44,79,39,858,23,0,148.20544835414302,280.1099342599437,60,1819,0.0669145543466914,0.1696095294176959,272,601,15,26,219,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T09:46:00+00:00,2011-08-10T09:47:00+00:00,CTU13_PCAP,1231,566071,22,50,77,40,1189,41,1,459.8464662875711,775.9530718839562,60,7354,0.0485140315885466,0.147535538475446,243,928,54,23,231,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T09:47:00+00:00,2011-08-10T09:48:00+00:00,CTU13_PCAP,931,203160,19,49,79,41,918,13,0,218.2169709989259,600.7452676979668,60,7354,0.0644257571107597,0.1568563553384192,253,679,20,32,173,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T09:48:00+00:00,2011-08-10T09:49:00+00:00,CTU13_PCAP,765,61770,13,42,66,27,751,14,0,80.74509803921569,116.40244193762722,60,1514,0.0783156580949953,0.1508306457917178,239,518,12,18,162,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T09:49:00+00:00,2011-08-10T09:50:00+00:00,CTU13_PCAP,925,69955,12,39,70,29,917,8,0,75.62702702702703,104.6862200814664,60,1819,0.06480655087021,0.1472305349290995,251,673,2,20,264,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T09:50:00+00:00,2011-08-10T09:51:00+00:00,CTU13_PCAP,956,122788,19,47,81,37,938,16,2,128.43933054393307,264.38227418832594,60,1819,0.0627755884100629,0.1435674745935218,278,676,12,31,200,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T09:51:00+00:00,2011-08-10T09:52:00+00:00,CTU13_PCAP,956,144755,15,39,74,33,942,14,0,151.4173640167364,565.6702216456598,60,8907,0.0628049803029804,0.1261593583454167,264,688,24,20,201,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T09:52:00+00:00,2011-08-10T09:53:00+00:00,CTU13_PCAP,903,114360,18,44,76,37,883,20,0,126.64451827242524,438.5138938443517,60,7354,0.0661255686880479,0.1407827081864166,251,647,15,34,185,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T09:53:00+00:00,2011-08-10T09:54:00+00:00,CTU13_PCAP,891,122614,18,42,75,32,879,11,1,137.6139169472503,398.4411166567555,60,4434,0.0668858404909626,0.1411022104130432,237,618,44,10,235,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T09:54:00+00:00,2011-08-10T09:55:00+00:00,CTU13_PCAP,1832,1054090,11,38,64,23,1826,2,4,575.3766375545852,839.1540175266111,60,7354,0.0323622752772466,0.0811001579279428,240,1592,5,18,371,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T09:55:00+00:00,2011-08-10T09:56:00+00:00,CTU13_PCAP,1344,601484,17,43,76,33,1328,16,0,447.5327380952381,806.2011634154982,60,5894,0.0445548556051588,0.1173596021887789,277,1061,10,16,268,1,2,74,120,2892.0871579647064,NORMAL,NORMAL
2011-08-10T09:56:00+00:00,2011-08-10T09:57:00+00:00,CTU13_PCAP,873,85896,16,45,84,33,856,17,0,98.3917525773196,338.8539948207454,60,8907,0.0685393350933669,0.1722115561771382,306,561,13,17,204,1,2,74,120,2892.0871579647064,NORMAL,NORMAL
2011-08-10T09:57:00+00:00,2011-08-10T09:58:00+00:00,CTU13_PCAP,703,64024,16,44,77,37,677,26,0,91.07254623044096,144.26713456933047,60,1514,0.0848815526038493,0.181348864936498,249,437,31,20,127,2,4,148,240,1910.958587527275,NORMAL,NORMAL
2011-08-10T09:58:00+00:00,2011-08-10T09:59:00+00:00,CTU13_PCAP,662,41822,11,37,64,24,657,2,3,63.17522658610272,17.743969390248413,60,315,0.0902963568331073,0.1645131797538007,225,433,14,6,148,1,2,74,120,929.8300170898438,NORMAL,NORMAL
2011-08-10T09:59:00+00:00,2011-08-10T10:00:00+00:00,CTU13_PCAP,770,47512,7,35,58,14,768,2,0,61.703896103896106,3.4951707521390416,60,87,0.0779953681911076,0.140677483527272,224,544,6,0,182,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T10:00:00+00:00,2011-08-10T10:01:00+00:00,CTU13_PCAP,881,99028,13,43,68,25,867,14,0,112.40408626560726,236.33765487447357,60,1506,0.0679409170692617,0.1243772153198553,230,637,15,7,204,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T10:01:00+00:00,2011-08-10T10:02:00+00:00,CTU13_PCAP,1258,576393,21,46,77,40,1217,41,0,458.18203497615264,799.2473055422373,60,8814,0.0476010900313833,0.155816070724111,257,973,15,19,264,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T10:02:00+00:00,2011-08-10T10:03:00+00:00,CTU13_PCAP,855,105118,16,43,80,31,826,17,12,122.94502923976609,311.6403655594888,60,2974,0.0699125997355726,0.1615882007853253,284,526,29,17,201,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T10:03:00+00:00,2011-08-10T10:04:00+00:00,CTU13_PCAP,900,69410,14,42,68,27,874,26,0,77.12222222222222,105.95329450887286,60,1514,0.0665620054896336,0.1083574341861707,223,658,4,11,215,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T10:04:00+00:00,2011-08-10T10:05:00+00:00,CTU13_PCAP,868,61419,13,44,75,25,850,18,0,70.75921658986175,71.640026562236,60,1514,0.0690435906732508,0.1150311899370346,270,585,10,10,197,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T10:05:00+00:00,2011-08-10T10:06:00+00:00,CTU13_PCAP,832,56831,10,35,69,19,827,5,0,68.30649038461539,60.849147931821975,60,1384,0.0707381130269001,0.1386478806956742,314,518,9,1,176,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T10:06:00+00:00,2011-08-10T10:07:00+00:00,CTU13_PCAP,851,63094,14,40,79,25,846,5,0,74.14101057579319,128.97272449934394,60,2974,0.0691938116971184,0.1415737459368063,356,496,10,3,170,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T10:07:00+00:00,2011-08-10T10:08:00+00:00,CTU13_PCAP,797,55544,9,36,62,22,792,5,0,69.69134253450439,63.73982631211021,60,957,0.0739757185006261,0.1488928581118953,246,549,3,6,213,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T10:08:00+00:00,2011-08-10T10:09:00+00:00,CTU13_PCAP,674,42357,11,36,58,19,671,2,1,62.84421364985163,17.27928393949738,60,315,0.0890000830079258,0.172414130516037,239,433,8,3,149,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T10:09:00+00:00,2011-08-10T10:10:00+00:00,CTU13_PCAP,724,71075,12,42,72,27,713,11,0,98.16988950276244,418.5491451232617,60,7354,0.0828720458150734,0.1757088171540992,235,480,13,6,147,1,2,74,120,2892.0871579647064,NORMAL,NORMAL
2011-08-10T10:10:00+00:00,2011-08-10T10:11:00+00:00,CTU13_PCAP,1065,214702,18,46,72,32,1036,29,0,201.5981220657277,458.9472869546634,60,4434,0.0556609491656597,0.1177282533143585,253,794,12,23,214,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T10:11:00+00:00,2011-08-10T10:12:00+00:00,CTU13_PCAP,808,74303,17,42,66,30,765,41,2,91.9591584158416,164.65430953606008,60,2974,0.0742065971521049,0.147802810663937,231,543,13,16,176,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T10:12:00+00:00,2011-08-10T10:13:00+00:00,CTU13_PCAP,691,43576,12,38,71,26,689,2,0,63.06222865412446,17.10562758795533,60,283,0.0862104536830515,0.1641408413058559,268,424,11,6,142,1,2,74,120,2892.0871579647064,NORMAL,NORMAL
2011-08-10T10:13:00+00:00,2011-08-10T10:14:00+00:00,CTU13_PCAP,696,45798,11,36,65,22,691,5,0,65.80172413793103,37.1601968093874,60,449,0.0859516490277626,0.1776768959411961,242,454,9,6,147,1,2,74,120,2892.0871579647064,NORMAL,NORMAL
2011-08-10T10:14:00+00:00,2011-08-10T10:15:00+00:00,CTU13_PCAP,753,49031,15,42,73,30,744,9,0,65.11420982735724,27.507289338273686,60,334,0.0796503126621246,0.1411141575415855,262,485,17,6,162,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T10:15:00+00:00,2011-08-10T10:16:00+00:00,CTU13_PCAP,1490,619217,21,50,83,40,1473,17,0,415.58187919463086,789.0490353638038,60,5894,0.0402191887772907,0.0974416198251052,278,1209,20,29,306,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T10:16:00+00:00,2011-08-10T10:17:00+00:00,CTU13_PCAP,713,53088,10,38,69,20,706,7,0,74.45722300140253,139.63908068503017,60,2974,0.0838818637172827,0.1603337434323333,281,428,7,3,146,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T10:17:00+00:00,2011-08-10T10:18:00+00:00,CTU13_PCAP,897,102760,16,41,77,31,883,14,0,114.55964325529544,432.32352591325247,60,5894,0.0668730581445353,0.1234565353313188,282,611,15,17,182,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T10:18:00+00:00,2011-08-10T10:19:00+00:00,CTU13_PCAP,804,65804,13,42,75,25,787,17,0,81.8457711442786,119.05460344530891,60,1514,0.0742869154453871,0.1429467165800449,275,521,8,17,166,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T10:19:00+00:00,2011-08-10T10:20:00+00:00,CTU13_PCAP,707,44768,13,40,65,25,702,5,0,63.32107496463932,19.81363366936801,60,333,0.0844193683467573,0.166390754913422,236,468,9,3,156,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T10:20:00+00:00,2011-08-10T10:21:00+00:00,CTU13_PCAP,890,116651,13,41,67,29,873,17,0,131.0685393258427,292.9331074063162,60,4434,0.0671377785428436,0.1377053176162752,241,639,13,6,215,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T10:21:00+00:00,2011-08-10T10:22:00+00:00,CTU13_PCAP,802,63867,13,41,63,23,785,17,0,79.63466334164589,142.34725355258516,60,2974,0.0746089275112461,0.1469945238889276,249,541,9,7,177,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T10:22:00+00:00,2011-08-10T10:23:00+00:00,CTU13_PCAP,759,61764,10,40,59,23,752,7,0,81.37549407114625,339.81237942002804,60,8919,0.0787489486558456,0.1321712236850804,225,532,6,7,175,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T10:23:00+00:00,2011-08-10T10:24:00+00:00,CTU13_PCAP,849,73894,16,44,66,30,828,20,1,87.03651354534746,153.10301184387458,60,1819,0.0701959622356126,0.1371668934306704,238,600,14,22,185,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T10:24:00+00:00,2011-08-10T10:25:00+00:00,CTU13_PCAP,1029,334883,9,39,59,22,1025,2,2,325.44509232264335,688.1981912113018,60,4434,0.0583515076785699,0.1432958054041278,211,821,2,18,163,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T10:25:00+00:00,2011-08-10T10:26:00+00:00,CTU13_PCAP,900,117582,17,48,72,34,877,23,0,130.64666666666668,265.4339207159979,60,1819,0.066502698669179,0.1274042692647303,236,657,10,27,195,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T10:26:00+00:00,2011-08-10T10:27:00+00:00,CTU13_PCAP,630,43420,11,39,60,23,625,5,0,68.92063492063492,79.84622156376327,60,1819,0.0953432319653242,0.1818158991049194,212,417,3,12,139,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T10:27:00+00:00,2011-08-10T10:28:00+00:00,CTU13_PCAP,760,88906,16,45,64,30,742,16,2,116.98157894736842,384.42368988509975,60,7354,0.0788798746855362,0.152200437015697,226,526,13,15,164,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T10:28:00+00:00,2011-08-10T10:29:00+00:00,CTU13_PCAP,1188,560307,13,42,71,31,1185,2,1,471.6388888888889,858.3751985883723,60,5894,0.0503598609287997,0.126257418225558,239,951,10,15,241,1,2,74,120,2892.0871579647064,NORMAL,NORMAL
2011-08-10T10:29:00+00:00,2011-08-10T10:30:00+00:00,CTU13_PCAP,1575,175559,137,167,65,26,661,910,4,111.46603174603176,239.10851084239732,60,5894,0.0380473132357664,0.1123944472722914,210,455,3,19,137,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T10:30:00+00:00,2011-08-10T10:31:00+00:00,CTU13_PCAP,912,131360,30,63,67,34,814,98,0,144.03508771929825,322.749415448519,60,2974,0.0658299899389139,0.1330730649014038,225,592,20,24,181,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T10:31:00+00:00,2011-08-10T10:32:00+00:00,CTU13_PCAP,1879,240772,158,198,68,32,583,1291,5,128.1383714741884,296.89144673776644,60,8895,0.0317016629238352,0.109821321522965,218,375,7,20,109,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T10:32:00+00:00,2011-08-10T10:33:00+00:00,CTU13_PCAP,889,80723,41,77,68,29,622,267,0,90.80202474690664,150.07125850099138,60,2114,0.0674454988660039,0.1552228354324408,202,426,11,15,141,1,2,74,120,2892.0871579647064,NORMAL,NORMAL
2011-08-10T10:33:00+00:00,2011-08-10T10:34:00+00:00,CTU13_PCAP,1025,77861,23,53,66,32,890,134,1,75.9619512195122,107.20590407884949,60,1819,0.058549688430503,0.1038766197038458,217,678,13,18,221,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T10:34:00+00:00,2011-08-10T10:35:00+00:00,CTU13_PCAP,917,62153,14,44,62,27,799,115,3,67.77862595419847,65.4888176380184,60,1819,0.0652683843171232,0.1176300211490508,217,585,4,8,199,1,2,74,120,2892.0871579647064,NORMAL,NORMAL
2011-08-10T10:35:00+00:00,2011-08-10T10:36:00+00:00,CTU13_PCAP,1093,124164,23,52,66,30,952,137,4,113.5992680695334,253.09276797943065,60,3719,0.054396975389767,0.1088593466450399,244,718,4,21,221,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T10:36:00+00:00,2011-08-10T10:37:00+00:00,CTU13_PCAP,991,84817,16,43,69,34,885,105,1,85.58728557013119,166.2878681553742,60,2974,0.060450351599491,0.1003835948344734,236,653,10,11,219,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T10:37:00+00:00,2011-08-10T10:38:00+00:00,CTU13_PCAP,907,78392,18,52,67,29,860,44,3,86.42998897464167,225.96426795099336,60,4434,0.066080120488771,0.1142986159231926,208,660,12,21,207,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T10:38:00+00:00,2011-08-10T10:39:00+00:00,CTU13_PCAP,838,75778,30,63,66,30,741,97,0,90.4272076372315,145.72370241625757,60,1819,0.0715559893326662,0.1304891186572312,212,535,13,17,178,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T10:39:00+00:00,2011-08-10T10:40:00+00:00,CTU13_PCAP,778,58815,11,43,61,22,776,2,0,75.59768637532133,125.07241643133638,60,1819,0.0768161673036474,0.1381497789122001,219,561,6,14,184,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T10:40:00+00:00,2011-08-10T10:41:00+00:00,CTU13_PCAP,875,106042,10,45,74,25,862,13,0,121.19085714285714,262.0539423790609,60,1819,0.0685190491599949,0.1295404509616649,266,604,4,17,186,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T10:41:00+00:00,2011-08-10T10:42:00+00:00,CTU13_PCAP,932,82691,20,51,88,34,912,17,3,88.72424892703863,177.84414782088126,60,2974,0.0641417841394016,0.1304467329210106,301,621,13,20,196,1,2,74,120,2892.0871579647064,NORMAL,NORMAL
2011-08-10T10:42:00+00:00,2011-08-10T10:43:00+00:00,CTU13_PCAP,1040,207578,14,43,74,34,1018,22,0,199.5942307692308,525.2879913084533,60,5894,0.0575934415602477,0.1316245155904528,258,768,4,15,218,0,0,0,0,,UNKNOWN,UNKNOWN
